date_qtr,expectations,import_price,unemp_gap,momentum,dummies,aena_demeaned,fitted,actual,residuals,forecast_error_h1,forecast_error_h2,forecast_error_h3,forecast_error_h4
2007 Q2,0.757020481110494,0.013719018396340054,0.1561757667161952,-0.0012502410981400742,0,-0.005090036702864882,0.9205749884220243,0.9,-0.02057498842202432,-0.02057498842202432,0.2794250115779756,0.17942501157797575,0.2794250115779756
2007 Q3,0.7696862477414856,-0.0026178882291783014,0.17541862149191423,0.008338928195994915,0,-0.03227100563222823,0.9185549035679883,0.9,-0.01855490356798828,0.28144509643201165,0.1814450964320118,0.28144509643201165,0.28144509643201165
2007 Q4,0.7713612494879755,0.01366350292463683,0.17286264149814662,0.0025226663243966057,0,0.02915661705062762,0.9895666772857831,1.2,0.21043332271421689,0.11043332271421702,0.21043332271421689,0.21043332271421689,-0.2895666772857831
2008 Q1,0.7747456708250612,-0.002036147341838373,0.21954756242961682,-0.0038080064500861303,0,-0.009991893239628185,0.9784571862231253,1.1,0.12154281377687481,0.22154281377687468,0.22154281377687468,-0.2784571862231253,-0.07845718622312525
2008 Q2,0.7826732475841329,-0.0139275322544636,0.1924793022402293,0.009939702907435424,0,0.006740072878808651,0.9779047933561427,1.2,0.2220952066438573,0.2220952066438573,-0.2779047933561427,-0.07790479335614264,-0.2779047933561427
2008 Q3,0.7778776946387032,-0.016263359832292185,0.20090746209843252,-0.006518876499667558,0,0.007528319201828632,0.9635312396070045,1.2,0.23646876039299547,-0.26353123960700453,-0.06353123960700446,-0.26353123960700453,-0.26353123960700453
2008 Q4,0.731448022939769,-0.01523731103533419,0.1648210708309095,0.0026103323793830228,0,0.004488212881542759,0.88813032799627,0.7,-0.18813032799627005,0.011869672003730014,-0.18813032799627005,-0.18813032799627005,-0.08813032799626996
2009 Q1,0.7163156441478504,-0.05165567029602547,0.05296122997721634,-0.0076127596635610795,0,-0.021058260268203823,0.6889501838972764,0.9,0.21104981610272366,0.011049816102723597,0.011049816102723597,0.11104981610272369,0.11104981610272369
2009 Q2,0.7205146211287771,-0.16675573338061606,-0.021781459421846533,-0.023853766751569798,0,0.020702107273227896,0.5288257688479725,0.7,0.17117423115202746,0.17117423115202746,0.27117423115202755,0.27117423115202755,-0.12882576884797248
2009 Q3,0.7424732056683768,-0.01095740499077535,-0.0962582281183105,-0.011709875113094742,0,-0.009252164318417746,0.6142955331277784,0.7,0.08570446687222155,0.18570446687222164,0.18570446687222164,-0.21429553312777838,-0.014295533127778426
2009 Q4,0.7565042134489046,0.18072018916430216,-0.14833369333087415,0.0012972809246196105,0,0.017456517932179092,0.8076445081391314,0.8,-0.007644508139131312,-0.007644508139131312,-0.40764450813913133,-0.20764450813913138,-0.40764450813913133
2010 Q1,0.7727035454081078,0.12995492960727856,-0.1460919469347667,0.0037119045963165597,0,-0.009824717822179177,0.750453714854757,0.8,0.04954628514524306,-0.35045371485475696,-0.150453714854757,-0.35045371485475696,0.04954628514524306
2010 Q2,0.782558521437113,0.17657614333380728,-0.141356842811758,0.006825702320399472,0,-0.02180444767272422,0.8027990766068375,0.4,-0.40279907660683745,-0.2027990766068375,-0.40279907660683745,-0.002799076606837425,-0.002799076606837425
