variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLAENA_EST
NAIRU[36],5.1027956876765845,5.097247704620165,4.662065544692701,5.622217917626361,4.800905385500242,5.4043913282294485,2006 Q3,4.678365866666667,-0.7532992307544895,1.1
NAIRU[37],5.104555439191353,5.09487157163396,4.624279961673004,5.626209935378946,4.814586821311405,5.385604540418744,2006 Q4,4.515483166666667,-1.5166167471410752,3.2
NAIRU[38],5.10124817844254,5.0946779280351215,4.674083490025057,5.542874495250184,4.800519237439651,5.381604130081619,2007 Q1,4.549238466666667,-2.2771382412477337,1.1
NAIRU[39],5.097622208482225,5.07867707513992,4.641858834393795,5.596291003682401,4.82145720965541,5.369881752407871,2007 Q2,4.3249484,-4.011999378942566,2
NAIRU[40],5.078626806080759,5.072760286578587,4.652529814234413,5.519702335242212,4.8093152626543745,5.363980039787165,2007 Q3,4.2552332999999996,-4.050698427981736,1.2
NAIRU[41],5.0411134943638,5.030869320196478,4.5934339511804225,5.482490964896742,4.76311005932986,5.334056346432053,2007 Q4,4.353817833333333,-4.293342290860114,0.3
NAIRU[42],5.005260046433616,4.992882260127837,4.57766942367906,5.448095538099631,4.745501869187362,5.305134113991669,2008 Q1,4.086222633333334,-2.8225718064629035,0.7
NAIRU[43],4.956998004277771,4.967682599146778,4.497307871938284,5.396233541940433,4.658837147867825,5.224658433274568,2008 Q2,4.258564,-2.366974408590483,1.8
NAIRU[44],4.901390442965849,4.920342999723747,4.446211272455518,5.378862230382131,4.6212798015195276,5.1929937937310156,2008 Q3,4.1850008333333335,0.5888142625222414,0.5
NAIRU[45],4.831947762536691,4.8553592084634225,4.350043499743352,5.3149740808356984,4.513868056346637,5.098013099452835,2008 Q4,4.441033366666667,15.997331929834147,0.8
NAIRU[46],4.794723399452595,4.805160426186648,4.341670086272827,5.2803345784775635,4.476925811758321,5.066848799445454,2009 Q1,5.3073573666666665,17.60498742460772,-0.5
