variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLAENA_EST,DLWPI_EST
NAIRU[97],4.170135676643833,4.1666157063914255,3.8312804494637573,4.479802741693511,4.000922869875216,4.361750292752987,2021 Q4,4.6951366666666665,5.202515398928043,0.6,0.6524126076943304
NAIRU[98],4.186992834762831,4.1718288132976635,3.891136021054309,4.547471489181314,4.001457251165786,4.386309082851908,2022 Q1,4.059378933333333,9.299286684916463,1.4,0.6481837602190232
NAIRU[99],4.214775858182086,4.205963223958279,3.8967910598123234,4.4992632800603065,4.038790023072391,4.406731060076271,2022 Q2,3.7962040666666668,8.08520966290951,-0.5,0.857760798804108
NAIRU[100],4.267198876835818,4.259719670519278,4.007507039601347,4.543852133174162,4.074655624156832,4.449266586456812,2022 Q3,3.5266563,8.939550265436758,0.8,0.9210125324226048
NAIRU[101],4.309126629034146,4.301190380085533,4.031776263264246,4.6436412712867705,4.147491124745129,4.471395957660372,2022 Q4,3.4944645333333333,8.687509078839728,0.1,0.8427016161880019
NAIRU[102],4.362244830302712,4.360721937659699,4.097024367984747,4.671950059881003,4.189029446131694,4.516766794389404,2023 Q1,3.6210123333333333,4.382547954002902,0.7,0.9742596198819342
NAIRU[103],4.364289914477437,4.365420505494146,4.124395450304457,4.639182769685319,4.20734526291839,4.5065698104853515,2023 Q2,3.5997939333333333,6.271647386762602,0.2,0.827590930385913
NAIRU[104],4.370037930094174,4.37961352416254,4.107944337794196,4.626100415488989,4.210161820420001,4.533237704346434,2023 Q3,3.6539149666666666,1.3772214621226908,3.2,1.3642776403786527
NAIRU[105],4.374276943894009,4.379961791210107,4.111567707391415,4.650333017424498,4.196846761934923,4.5498402451845665,2023 Q4,3.9008317,0.5979091056057761,2.2,1.011130960432105
NAIRU[106],4.378482328693732,4.366097086375023,4.112069757783668,4.633126845363035,4.186427414800937,4.568279904273471,2024 Q1,3.908617,1.0662705744040046,0.7,0.7350517559340908
NAIRU[107],4.390414158413823,4.394316179918095,4.0938977737116184,4.641828490323116,4.2078836117229015,4.549605578078332,2024 Q2,4.034713233333333,0.9077218151117172,0.7,0.8617885619389476
NAIRU[108],4.4331423797433915,4.4283959773777966,4.1751927587949345,4.700748996956107,4.253577735702854,4.620772733767091,2024 Q3,4.1170564333333335,1.1333706509849328,0.1,0.8544251782996781
NAIRU[109],4.44952168260249,4.458873168426343,4.179400979379146,4.701483345673132,4.269584359007214,4.616668891739791,2024 Q4,4.0104356333333335,0.4460973940624946,1.9,0.717316411241331
NAIRU[110],4.45924658235088,4.4651262518060255,4.167573870967938,4.735044856043749,4.257357278911414,4.648094104349973,2025 Q1,4.091478633333334,3.2056416116116537,1,0.9055689309808379
NAIRU[111],4.476013029247483,4.492491694139354,4.156788752635935,4.795383690630681,4.269626899458902,4.643499445217453,2025 Q2,4.152140766666667,2.967576814611661,1.5,0.8974419207333106
NAIRU[112],4.474728754169065,4.469172330098225,4.120587427542162,4.797618685722758,4.268069478699326,4.669428788956184,2025 Q3,4.315131333333333,2.0818595756032288,1.3,0.7628771899621078
NAIRU[113],4.479844983374971,4.475148169091536,4.117773717002025,4.847845592335655,4.266593087172408,4.662758809478846,2025 Q4,4.2586789666666665,1.326474865848315,0.5,0.8199352148686501
NAIRU[114],4.4748723694074375,4.478311953768674,4.127898240820381,4.826188060650185,4.241405704837823,4.659608428811147,2026 Q1,4.220149466666666,-2.2256111517823918,0.5,0.7509422022131673
NAIRU[115],4.481834274835972,4.49479875896461,4.094735002040716,4.88979880157219,4.239188154881927,4.6681648133600335,2026 Q2,4.4877553,-2.2256111517823918,0.5,0.7509422022131673
NAIRU[116],4.478267116210242,4.462954007666241,4.117338741995012,4.8652566877508,4.19984145729343,4.7070139019787645,2026 Q3,4.4877553,-2.2256111517823918,0.5,0.7509422022131673
NAIRU[117],4.478052341483765,4.475732676554937,4.078127016398309,4.882531411920871,4.190251989778428,4.722207495744652,2026 Q4,4.4877553,-2.2256111517823918,0.5,0.7509422022131673
NAIRU[118],4.490940470231637,4.481650465278513,4.090547830725862,4.95299907001502,4.23413991931088,4.737363811054717,2027 Q1,4.4877553,-2.2256111517823918,0.7601688992019583,0.7837753929242326
