variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLAENA_EST,DLWPI_EST
NAIRU[37],4.639285789844055,5.208183479886085,2.414298682781225,5.5827347512182515,2.730334898597447,5.442456529109213,2006 Q4,4.515483166666667,-1.5166167471410752,2.2110607132087123,3.1,1.0929070532190721
NAIRU[38],4.57675004461663,5.1890101450074955,2.2187129864534105,5.52751341625002,2.6681525639764097,5.3936863814123335,2007 Q1,4.549238466666667,-2.2771382412477337,1.0317689078977121,1.1,0.8658062743114314
NAIRU[39],4.518574130445912,5.118187771773958,2.1146680227196653,5.457117477459041,2.6002610219815203,5.346557881695745,2007 Q2,4.3249484,-4.011999378942566,1.89274835299027,2.1,1.071821622002389
NAIRU[40],4.506870192573944,5.079430285684914,2.1776108660517344,5.452573782454657,2.6040802074810268,5.360395251803995,2007 Q3,4.2552332999999996,-4.050698427981736,0.619670524145266,1.1,1.1658849603703558
NAIRU[41],4.4581601571324825,5.022722523213807,2.143687721525142,5.407190874998292,2.6807927343229196,5.271863739259718,2007 Q4,4.353817833333333,-4.293342290860114,1.1772099500571453,0.3,0.7349114441473681
NAIRU[42],4.421366446935734,4.974941867081618,1.993877391886009,5.34448353029895,2.7228308100755347,5.223955054328885,2008 Q1,4.086222633333334,-2.8225718064629035,0.8962772184476275,0.7,1.0405921161116716
NAIRU[43],4.379919831706766,4.9004857188081745,1.8035356381305299,5.306377617955592,2.84816078341685,5.158037708719318,2008 Q2,4.258564,-2.366974408590483,2.224377920453935,1.8,1.1322817830264675
NAIRU[44],4.387525247776896,4.8390733744179375,2.0033174703471257,5.239130422714624,3.1155107117678904,5.1029627069543695,2008 Q3,4.1850008333333335,0.5888142625222414,-0.07883360114251392,0.5,1.2207679579929298
NAIRU[45],4.384861947399531,4.798568554587103,2.1118195021415334,5.173552298692716,3.3690685257807513,5.0503096891330985,2008 Q4,4.441033366666667,15.997331929834147,0.7281508208120568,0.8,0.8056438339125727
NAIRU[46],4.417524784884652,4.776791678111447,2.3043756727338693,5.121582160639061,3.61487497479674,5.020391608792417,2009 Q1,5.3073573666666665,17.60498742460772,-1.395508260385414,-0.5,0.8986580697846414
