variable,mean,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST,DLWPI_EST
NAIRU[30],5.552835036245115,5.569593761288294,5.23568127339474,5.873132479000824,5.31185972633856,5.761125817356385,2005 Q1,5.107043533333333,-0.5676458004804985,0.8776221927317307,1.0557282805876866
NAIRU[31],5.504127836304287,5.50351077397644,5.191570428787207,5.860191481795725,5.292193686712917,5.705625009998775,2005 Q2,5.0571897,-2.6194201090823377,0.7521723333481445,1.0446989964655096
NAIRU[32],5.46306406630689,5.445794580586132,5.148409504837874,5.808126433108236,5.266517144759064,5.680062288920267,2005 Q3,4.9585831,-2.6841037524811817,1.1538038228051883,0.9195467093100262
NAIRU[33],5.40216379166172,5.379888654405878,5.072068937740135,5.725597692618455,5.216480290259817,5.610937734675552,2005 Q4,5.0079177,-1.0294896726862568,0.5391245840280723,0.9111680351256091
NAIRU[34],5.366229870697483,5.360283100093033,5.068695042523719,5.710513971611535,5.174105354483219,5.576758853237096,2006 Q1,5.0447458,1.1320875624481808,1.8720056352304892,1.1274076573218217
NAIRU[35],5.337050776603489,5.33800143382885,4.990220627275776,5.6974405524220755,5.111878946343327,5.541964298667632,2006 Q2,4.8573665,1.2246973609973288,1.253496809367638,1.0039125028328044
NAIRU[36],5.286735066988987,5.286348111426734,4.959542863184391,5.617572350790443,5.065343942996677,5.499993043458977,2006 Q3,4.678362533333333,-0.7532992307544895,0.3087006073639875,0.8839836569141113
NAIRU[37],5.266326756974936,5.254768451172003,4.961394272131643,5.613356631438718,5.040031985582065,5.467608210493116,2006 Q4,4.5154584,-1.5166167471410752,2.189700930075511,1.0941028178208967
NAIRU[38],5.223454019835108,5.229741457561065,4.922206194471939,5.557797549450306,5.020522043925071,5.436461483638418,2007 Q1,4.549874366666667,-2.2771382412477337,1.0449419558533624,0.9745610430512919
NAIRU[39],5.173183268224953,5.182990137256925,4.8698767937409215,5.475689017628615,4.975642829054946,5.364514543894083,2007 Q2,4.3249311666666665,-4.011999378942566,1.9299695781254345,1.071821622002389
NAIRU[40],5.143993753642354,5.14433236840155,4.827386492867321,5.449675822280605,4.941702886885068,5.3247285199677865,2007 Q3,4.2552421,-4.050698427981736,0.5874484325190776,1.0604553248797721
NAIRU[41],5.101994931347239,5.097530013520375,4.7892847352396055,5.401295263772569,4.927572884805564,5.297797683558438,2007 Q4,4.353801066666667,-4.293342290860114,1.1631671569799495,0.8403410796379518
NAIRU[42],5.058935767808197,5.05860521380694,4.73683774447539,5.317427079002935,4.86720919774623,5.253234995287944,2008 Q1,4.085660266666667,-2.8225718064629035,0.9111607640747366,1.0405921161116716
NAIRU[43],5.0073515650766796,5.014698051062796,4.7014753271478025,5.270685312277464,4.816224404718618,5.195299323540478,2008 Q2,4.2585525,-2.366974408590483,2.250217180787595,1.1322817830264675
NAIRU[44],4.975924733651903,4.977771310820847,4.687885622248716,5.2316032367634655,4.810338734938383,5.156941977458121,2008 Q3,4.1850076666666665,0.5888142625222414,-0.11182944603500555,1.1196045705085034
NAIRU[45],4.915537256989049,4.91924589136514,4.602082566407025,5.232286626024425,4.728665697172149,5.100491838481655,2008 Q4,4.441007533333333,15.997331929834147,0.7196518510153016,0.9068072213969991
NAIRU[46],4.885528089373648,4.885343347464543,4.538316404619151,5.204258337037953,4.704322381058488,5.0715590116196445,2009 Q1,5.307387933333334,17.60498742460772,-1.3785434155470622,0.8986580697846414
NAIRU[47],4.911607034478367,4.911594588441739,4.602485324306955,5.229270510729527,4.725443139415576,5.101536851774307,2009 Q2,5.729005133333334,12.903025974373161,-0.8495138278521663,0.7920833491444235
NAIRU[48],4.9234515566180415,4.918668904429011,4.587154927369455,5.2421353739302345,4.730410934168741,5.115935585621965,2009 Q3,5.683227266666667,6.166011635755986,0.9444446388678918,0.39370129593390146
NAIRU[49],4.926597824351852,4.917467358175204,4.6126524668904505,5.233304240221006,4.740252914264683,5.114155542435898,2009 Q4,5.557762566666667,-12.760168444084918,0.8274905403744315,0.782782862024689
NAIRU[50],4.952548448887598,4.956341913382607,4.657584299622401,5.275061129066149,4.770033334109362,5.130127703237381,2010 Q1,5.329292633333334,-14.112877009846336,1.3624646174172472,0.9699397088713368
NAIRU[51],4.938536218997167,4.943647226281596,4.638654596825228,5.229106193348933,4.742262863783088,5.1175037234885385,2010 Q2,5.290896133333334,-7.654007712233479,2.0719052863944043,0.7692345623156349
NAIRU[52],4.903880811159605,4.893643975425769,4.612799283496983,5.22246687316825,4.722758779507892,5.089195182932338,2010 Q3,5.124958433333333,-3.0829158019901826,1.469161166800359,1.048127746758265
NAIRU[53],4.859332380028698,4.8596541355621685,4.560621428465701,5.15448732304006,4.6914178958263815,5.033004339137749,2010 Q4,5.0901897,-2.3438572972017013,1.3171784520680685,1.037255881562249
NAIRU[54],4.831624977197816,4.83313588960281,4.539784959862632,5.110293455584771,4.650773924882001,5.016531482842309,2011 Q1,4.967817933333333,-4.185525773661247,2.222648830684526,0.9337135995940216
NAIRU[55],4.8019384463154795,4.8082837865607395,4.486510621233126,5.112077525605284,4.614269496193728,4.9678190306776155,2011 Q2,4.963133733333334,-5.84962066816086,0.5331922235891406,0.740744127786197
NAIRU[56],4.75945655034917,4.765949663889064,4.452886653944153,5.037172739358144,4.57929634807913,4.935399092791034,2011 Q3,5.1949646666666665,-5.760499194271507,0.2980990781167536,0.8268306176947071
NAIRU[57],4.724884581909004,4.724656324347157,4.407281983734643,5.026336640800336,4.520510008932705,4.902949976682487,2011 Q4,5.205066666666666,0,-0.09834611468524379,1.001373866050237
NAIRU[58],4.677225485732578,4.674300136385526,4.346632788317922,4.996995144150509,4.469206735623617,4.868127633767682,2012 Q1,5.141840033333334,-2.2111453607431386,1.228938653731615,0.9914457057178083
NAIRU[59],4.632611467634726,4.643184363539023,4.268405342547842,4.949139791421282,4.407625805927645,4.85439550008645,2012 Q2,5.1191069,1.197619104671599,0.0292811403549198,0.892863074430128
NAIRU[60],4.616624910076465,4.63349280114747,4.2630851318279674,4.911476468173623,4.392615575719212,4.830274692951156,2012 Q3,5.2759879000000005,0,-0.8047572019670657,0.7968169649177348
NAIRU[61],4.6025597147727435,4.614434491111888,4.25372797602965,4.897307248972217,4.38423196690516,4.805039815557287,2012 Q4,5.366298966666666,-1.996074256253788,0.8880814428205985,0.7029905928257918
NAIRU[62],4.599818327543817,4.62019882978327,4.230628383377381,4.919417779587886,4.373954998515053,4.799947932878744,2013 Q1,5.476316233333334,0.708863727773501,-0.030672055144020938,0.6980831141340182
NAIRU[63],4.591079581717053,4.596205677081686,4.2091309007659765,4.935680499732063,4.363187880847703,4.816187592814856,2013 Q2,5.6309670333333335,-0.5970166986504211,0.5562403402646687,0.6068505836380744
NAIRU[64],4.57121596080216,4.586242489529875,4.171429949475273,4.954398455805999,4.29535411369876,4.809200760272669,2013 Q3,5.7287264,5.475463371835865,-0.13522057224166772,0.6031901097706793
NAIRU[65],4.545673386783529,4.553328246240345,4.113945728479873,4.957903421003789,4.270488183219614,4.796343083772902,2013 Q4,5.839745233333334,4.629088381435409,0.572234560214091,0.6849341845574841
NAIRU[66],4.511677682929231,4.538410681853605,4.076467235711595,4.905970089257891,4.247681847712081,4.757746800032497,2014 Q1,5.8995291,7.669939312596341,-0.06846754920080134,0.7649846060403753
NAIRU[67],4.489292836364041,4.517137869233013,4.085467063677379,4.845736318665722,4.226815651102713,4.73026716980161,2014 Q2,5.9272225333333335,4.964523048916547,0.3517657687223785,0.5067578412305984
NAIRU[68],4.450597825783791,4.4762885802044075,4.002769632712801,4.85722219926059,4.1922783753890265,4.728257818653526,2014 Q3,6.169606433333334,-0.19047624806542984,0.35264238519814306,0.5879899342879469
NAIRU[69],4.395608545992182,4.404702641574092,3.922815646170362,4.816291438421568,4.131486526736148,4.674693240619594,2014 Q4,6.253010766666667,3.8702329019038473,0.09243209044662581,0.5845528127435884
NAIRU[70],4.34739385800676,4.364224375421675,3.9102801358379207,4.76850119503354,4.070992538135014,4.633337672388452,2015 Q1,6.201141166666667,4.923510299768541,-0.5889573690203376,0.581155641477693
