date,region,DLWPI,UR
2024 Q2,NSW,0.4665120090156627,3.9049652666666668
2024 Q3,NSW,1.1897033911846044,3.949469233333333
2024 Q4,NSW,0.5895857236052571,3.918181533333333
2025 Q1,NSW,0.8455334927037761,4.092416333333333
1997 Q3,QLD,NA,9.158658966666666
1997 Q4,QLD,0.8968669982760247,8.747530933333334
1998 Q1,QLD,0.7412932389125437,8.371861633333333
1998 Q2,QLD,0.44215252578778674,8.294420033333333
1998 Q3,QLD,1.1696039763190669,8.652980033333334
1998 Q4,QLD,0.5797117684326558,8.1760683
1999 Q1,QLD,0.7199455142854028,7.5124094999999995
1999 Q2,QLD,0.42949242828811407,7.647626766666667
1999 Q3,QLD,1.136375865031436,7.668326266666667
1999 Q4,QLD,0.7037326720576331,7.932459066666667
2000 Q1,QLD,0.5594420185325077,7.799804
2000 Q2,QLD,0.278551712142594,7.442566133333333
2000 Q3,QLD,0.9688657103748888,7.290377266666667
2000 Q4,QLD,1.2320484388040676,7.7185527333333335
2001 Q1,QLD,0.6779686985379563,8.062570466666667
2001 Q2,QLD,0.6734032181343608,8.705280833333333
2001 Q3,QLD,1.0681009420333787,8.142347133333333
2001 Q4,QLD,0.6618157842478212,8.354053066666667
2002 Q1,QLD,0.6574645642085208,7.836254766666666
2002 Q2,QLD,0.5228770082799095,7.5873039
2002 Q3,QLD,1.037622798609128,7.341941233333333
2002 Q4,QLD,0.8991711191963958,7.300860433333333
2003 Q1,QLD,0.7643349312568049,7.1731312
2003 Q2,QLD,0.5063301956546695,6.8223910000000005
2003 Q3,QLD,1.1299555253933669,6.538173966666666
2003 Q4,QLD,1.117330059812538,6.152472433333333
2004 Q1,QLD,0.9828088936262525,6.011497266666667
2004 Q2,QLD,0.4878058453432921,5.6386155
2004 Q3,QLD,1.2092045765028203,5.303789
2004 Q4,QLD,1.0759219151739607,4.765764566666666
2005 Q1,QLD,0.8288975818954825,4.605931666666667
2005 Q2,QLD,0.5878911699776168,5.005486933333334
2005 Q3,QLD,1.5125361070755794,4.8096217
2005 Q4,QLD,1.2622083809747942,4.754661266666667
2006 Q1,QLD,1.1337989937397097,4.9124506666666665
2006 Q2,QLD,0.7860792863934485,4.596685766666667
2006 Q3,QLD,1.2229168526411982,4.474661033333334
2006 Q4,QLD,1.3172528556538943,4.007000166666667
2007 Q1,QLD,1.084609330938946,4.020052733333333
2007 Q2,QLD,0.8592963722832359,3.4746634666666667
2007 Q3,QLD,1.1696039763190669,3.6814054333333335
2007 Q4,QLD,1.1560822401076365,3.6678695
2008 Q1,QLD,0.8324709886031734,3.5930024
2008 Q2,QLD,0.6198366952339107,3.7669315
