variable,median,lowera,uppera,lowerb,upperb,date,LUR,dl4pmcg,DLNULC_EST
NAIRU[91],4.499706100101692,4.113834639951821,4.8641645454810165,4.255780862163452,4.733008628280753,2020 Q2,6.9041982,3.843413733926049,5.553966828393753
NAIRU[92],4.509356165226705,4.122058692775185,4.878326396546645,4.269891710479861,4.741452662645163,2020 Q3,7.058256933333333,-0.9333966790475046,-1.4466764731358994
NAIRU[93],4.516956875765634,4.136478302613554,4.889953108084341,4.279774155485193,4.750476425244525,2020 Q4,6.771440733333334,-2.2989518224698635,-1.4838966711971158
NAIRU[94],4.53149611886652,4.152805700831121,4.901414244864462,4.2948942644937285,4.763484915235724,2021 Q1,5.928383266666667,-4.464260590811708,-0.2499443454511474
NAIRU[95],4.545576742147739,4.174542574006648,4.917834141853794,4.312828526336759,4.777273768570103,2021 Q2,5.201759,-6.782259633876109,1.0655926436052843
NAIRU[96],4.5551283032562235,4.187871428589862,4.924293714361693,4.326959446100499,4.786179743898831,2021 Q3,4.672518066666667,1.1864545956192352,2.3598895181658808
NAIRU[97],4.559128960441106,4.1980934493177715,4.926323890973434,4.3337275854139135,4.789245353947981,2021 Q4,4.6923769,5.202515398928043,-0.812458857891285
NAIRU[98],4.574173764350594,4.2155234514021345,4.940455598182772,4.3511025491350015,4.798887770151384,2022 Q1,4.0556334,9.299286684916463,1.023522968737689
NAIRU[99],4.589614639224909,4.243362483354878,4.956745482363147,4.369633890558653,4.810872368059513,2022 Q2,3.801785766666667,8.08520966290951,1.5329592435067707
NAIRU[100],4.608552710082498,4.2678325455452555,4.97183326957086,4.395740973522516,4.828541950061019,2022 Q3,3.5312898666666666,8.939550265436758,2.2220826805226523
NAIRU[101],4.622181965558765,4.284818239387683,4.980928408599315,4.408048739928051,4.839699672559752,2022 Q4,3.4913950666666667,8.687509078839728,1.0374832441412463
NAIRU[102],4.635135059532038,4.297793297653391,4.994168167710288,4.421165433262434,4.853261228712041,2023 Q1,3.6161255,4.382547954002902,1.5287897884128432
NAIRU[103],4.643604853586729,4.312905973604963,5.008321340126448,4.430210798946708,4.865697369637124,2023 Q2,3.6082628666666667,6.271647386762602,1.1153709747421026
NAIRU[104],4.655341101332027,4.319718201678964,5.02716233060713,4.443312612216884,4.882437627498388,2023 Q3,3.6589056666666666,1.3772214621226908,1.9636942066199925
NAIRU[105],4.6519295232871265,4.31207740200837,5.0297920413184,4.434230448824291,4.884705682755893,2023 Q4,3.896382233333333,0.5979091056057761,1.5365609426567617
NAIRU[106],4.65009697534897,4.304844499592058,5.035606504434535,4.433257585211731,4.886338478879722,2024 Q1,3.9012506,1.0662705744040046,0.8720652715568877
NAIRU[107],4.655054707229384,4.301242072608312,5.045072762449275,4.430869881368177,4.895967101978878,2024 Q2,4.047912166666666,0.9077218151117172,0.8961076874464458
NAIRU[108],4.666568010714819,4.307654467672277,5.06254045636201,4.440517924415436,4.910014640938199,2024 Q3,4.124354933333334,1.1333706509849328,1.3189271513230016
NAIRU[109],4.669100897845956,4.294216672634227,5.074646709908657,4.43376527422395,4.9177384109197355,2024 Q4,4.003016266666667,0.4460973940624946,1.4697830107449739
NAIRU[110],4.672803572996527,4.287152683256046,5.089898633998911,4.427679299131505,4.928295132727738,2025 Q1,4.077463366666667,3.2056416116116537,1.3205224708186636
NAIRU[111],4.672992384673555,4.26040348987181,5.106619365050278,4.415202424730749,4.937564969458021,2025 Q2,4.166977666666667,2.967576814611661,0.548440211208856
NAIRU[112],4.679250972529042,4.249219189778173,5.129944677447311,4.409940297674678,4.960067586666537,2025 Q3,4.323938933333333,2.0818595756032288,0.7504084871171334
